date,cases,deaths
2019-12-31,27,0
2020-01-01,27,0
2020-01-02,27,0
2020-01-03,44,0
2020-01-04,44,0
2020-01-05,59,0
2020-01-06,59,0
2020-01-07,59,0
2020-01-08,59,0
2020-01-09,59,0
2020-01-10,59,0
2020-01-11,59,1
2020-01-12,59,1
2020-01-13,60,1
2020-01-14,60,1
2020-01-15,61,2
2020-01-16,61,2
2020-01-17,66,2
2020-01-18,83,2
2020-01-19,219,3
2020-01-20,239,3
2020-01-21,392,6
2020-01-22,534,17
2020-01-23,631,17
2020-01-24,897,26
2020-01-25,1350,41
2020-01-26,2023,56
2020-01-27,2820,81
2020-01-28,4587,106
2020-01-29,6067,132
2020-01-30,7823,170
2020-01-31,9824,213
2020-02-01,11946,259
2020-02-02,14554,305
2020-02-03,17372,362
2020-02-04,20615,427
2020-02-05,24523,493
2020-02-06,28274,565
2020-02-07,31492,638
2020-02-08,34934,724
2020-02-09,37552,813
2020-02-10,40544,910
2020-02-11,43106,1018
2020-02-12,45178,1115
2020-02-13,60329,1370
2020-02-14,64544,1383
2020-02-15,67104,1527
2020-02-16,69266,1669
2020-02-17,71333,1775
2020-02-18,73328,1873
2020-02-19,75192,2012
2020-02-20,75724,2128
2020-02-21,76720,2247
2020-02-22,77805,2359
2020-02-23,78814,2463
2020-02-24,79337,2619
2020-02-25,80130,2698
2020-02-26,80997,2762
2020-02-27,82111,2800
2020-02-28,83377,2857
2020-02-29,85236,2921
2020-03-01,87080,2979
2020-03-02,89168,3046
2020-03-03,90102,3109
2020-03-04,92470,3194
2020-03-05,94865,3275
2020-03-06,98022,3376
2020-03-07,101951,3480
2020-03-08,105950,3578
2020-03-09,110144,3806
2020-03-10,115590,4014
2020-03-11,120978,4297
2020-03-12,128897,4625
2020-03-13,138117,4976
2020-03-14,148629,5420
2020-03-15,160953,5789
2020-03-16,173652,6547
2020-03-17,187904,7152
2020-03-18,205034,7975
2020-03-19,225427,8949
2020-03-20,256475,10026
2020-03-21,288187,11418
2020-03-22,322410,13141
2020-03-23,357609,14863
2020-03-24,401898,16715
2020-03-25,444283,19061
2020-03-26,498204,21701
2020-03-27,559376,24541
2020-03-28,623796,28046
2020-03-29,686449,31644
2020-03-30,744867,34896
2020-03-31,809206,38926
2020-04-01,883802,43628
2020-04-02,961243,48630
2020-04-03,1038916,53673
2020-04-04,1119974,60493
2020-04-05,1204805,66766
2020-04-06,1272505,71549
2020-04-07,1345074,76914
2020-04-08,1422424,84534
2020-04-09,1507986,91055
2020-04-10,1595347,98510
2020-04-11,1683552,105508
2020-04-12,1758361,111554
2020-04-13,1826902,116900
2020-04-14,1892645,122275
2020-04-15,1969214,129912
2020-04-16,2047603,140369
2020-04-17,2131264,148855
2020-04-18,2212371,157320
2020-04-19,2291655,163675
2020-04-20,2363050,168680
2020-04-21,2436779,174126
2020-04-22,2522951,181347
2020-04-23,2589494,187257
2020-04-24,2667814,194591
2020-04-25,2740183,199937
2020-04-26,2839782,206110
2020-04-27,2922009,210004
2020-04-28,2987643,214877
2020-04-29,3059850,221439
2020-04-30,3138715,227982
2020-05-01,3223699,233638
2020-05-02,3312415,239197
2020-05-03,3392897,244024
2020-05-04,3470592,247731
2020-05-05,3547003,251703
2020-05-06,3625692,257655
2020-05-07,3713139,263774
2020-05-08,3805604,269419
2020-05-09,3894572,274528
2020-05-10,3983293,278936
2020-05-11,4058344,282356
2020-05-12,4127997,285925
2020-05-13,4214136,291693
2020-05-14,4300377,296698
2020-05-15,4396961,301956
2020-05-16,4493981,307000
2020-05-17,4586850,311226
2020-05-18,4666589,314130
2020-05-19,4752931,317426
2020-05-20,4848568,322606
2020-05-21,4951580,327330
2020-05-22,5059538,332727
2020-05-23,5165213,337357
2020-05-24,5265192,341282
2020-05-25,5358586,342381
2020-05-26,5447317,345747
2020-05-27,5541078,349618
2020-05-28,5643886,354764
2020-05-29,5762386,359395
2020-05-30,5884351,364055
2020-05-31,6012277,368064
2020-06-01,6119003,370976
2020-06-02,6219419,374126
2020-06-03,6331784,378668
2020-06-04,6457309,384176
2020-06-05,6584215,389306
2020-06-06,6717320,393945
2020-06-07,6843301,397735
2020-06-08,6958229,401243
2020-06-09,7063843,404460
2020-06-10,7189054,409313
2020-06-11,7323884,414439
2020-06-12,7460033,419138
2020-06-13,7604619,423781
2020-06-14,7738004,427918
2020-06-15,7859325,431080
2020-06-16,7977771,434457
2020-06-17,8119271,441176
2020-06-18,8292970,446247
2020-06-19,8434583,452548
2020-06-20,8614823,457578
2020-06-21,8775110,461700
2020-06-22,8904431,465669
2020-06-23,9038637,469057
2020-06-24,9202519,474406
2020-06-25,9377489,479623
2020-06-26,9556267,486198
2020-06-27,9744867,490765
2020-06-28,9926878,495353
2020-06-29,10087184,498420
2020-06-30,10245315,502131
2020-07-01,10437435,507748
2020-07-02,10637769,512592
2020-07-03,10846395,517666
2020-07-04,11051889,522679
2020-07-05,11242913,527017
2020-07-06,11421281,530394
2020-07-07,11595546,534238
2020-07-08,11802526,540232
2020-07-09,12018019,545510
2020-07-10,12243169,550891
2020-07-11,12474565,556170
2020-07-12,12692540,560965
2020-07-13,12888220,564851
2020-07-14,13076649,568695
2020-07-15,13300395,574275
2020-07-16,13532060,579776
2020-07-17,13786486,585518
2020-07-18,14040768,592876
2020-07-19,14270869,597823
2020-07-20,14480689,601665
2020-07-21,14681155,605757
2020-07-22,14921348,611881
2020-07-23,15202867,618758
2020-07-24,15479215,628540
2020-07-25,15762859,634792
2020-07-26,16022442,640526
2020-07-27,16254711,644491
2020-07-28,16466708,649144
2020-07-29,16710528,655307
2020-07-30,17008571,661948
2020-07-31,17299051,668332
2020-08-01,17577518,674439
2020-08-02,17844986,680192
2020-08-03,18069375,684445
2020-08-04,18274058,688673
2020-08-05,18529687,695403
2020-08-06,18807103,702514
2020-08-07,19093269,709399
2020-08-08,19368708,715863
2020-08-09,19637036,721488
2020-08-10,19867135,726308
2020-08-11,20087002,731149
2020-08-12,20348215,737271
2020-08-13,20637400,744161
2020-08-14,20924187,754087
2020-08-15,21212906,760332
2020-08-16,21472504,765987
2020-08-17,21705285,770209
2020-08-18,21901797,774474
2020-08-19,22156730,781157
2020-08-20,22438044,787688
2020-08-21,22714124,794027
2020-08-22,22967508,799947
2020-08-23,23234007,805578
2020-08-24,23459020,808899
2020-08-25,23670287,813163
2020-08-26,23925455,819652
2020-08-27,24201968,825941
2020-08-28,24485306,832017
2020-08-29,24761602,837475
2020-08-30,25030532,843159
2020-08-31,25276262,846934
2020-09-01,25518707,850985
2020-09-02,25787225,857495
2020-09-03,26070483,863576
2020-09-04,26349331,869361
2020-09-05,26642179,874951
2020-09-06,26921547,880313
2020-09-07,27170862,889343
2020-09-08,27377432,893181
2020-09-09,27621036,898144
2020-09-10,27903035,904078
2020-09-11,28199791,910078
